Sample Name	Protocol REF	Comment[sequencing center]	Parameter Value[sequencing technology]	Parameter Value[library type]	Parameter Value[mean paired end distance]	Unit	Term Source REF	Term Accession Number	Parameter Value[mean read length]	Unit	Term Source REF	Term Accession Number	Comment[Mean Coverage per Sample]	Assay Name	Raw Data File	Comment[Data Repository]	Comment[Data Record Accession]	Comment[Data Record URI]	Comment[location of sequence data on GIAB ftp site]	Factor Value[ancestry]
HG001	Illumina paired end WGS	NIST	Illumina HiSeq 2500 Rapid SBS	WGS paired end PCR-free	564.56	base pair	UO	UO:0000244	2 x 148	base pair	UO	UO:0000244	1-4X (300X total)	HG001_Illumina paired end WGS_replicate 11	SRX1049778	NCBI Sequence Read Archive	SRX1049778	http://www.ncbi.nlm.nih.gov/sra/SRX1049778	ftp://ftp-trace.ncbi.nlm.nih.gov/giab/ftp/data/NA12878/NIST_NA12878_HG001_HiSeq_300x	Caucasian
HG001	Illumina paired end WGS	NIST	Illumina HiSeq 2500 Rapid SBS	WGS paired end PCR-free	564.56	base pair	UO	UO:0000244	2 x 148	base pair	UO	UO:0000244	1-4X (300X total)	HG001_Illumina paired end WGS_replicate 12	SRX1049779	NCBI Sequence Read Archive	SRX1049779	http://www.ncbi.nlm.nih.gov/sra/SRX1049779	ftp://ftp-trace.ncbi.nlm.nih.gov/giab/ftp/data/NA12878/NIST_NA12878_HG001_HiSeq_300x	Caucasian
HG001	Illumina paired end WGS	NIST	Illumina HiSeq 2500 Rapid SBS	WGS paired end PCR-free	564.56	base pair	UO	UO:0000244	2 x 148	base pair	UO	UO:0000244	1-4X (300X total)	HG001_Illumina paired end WGS_replicate 13	SRX1049780	NCBI Sequence Read Archive	SRX1049780	http://www.ncbi.nlm.nih.gov/sra/SRX1049780	ftp://ftp-trace.ncbi.nlm.nih.gov/giab/ftp/data/NA12878/NIST_NA12878_HG001_HiSeq_300x	Caucasian
HG001	Illumina paired end WGS	NIST	Illumina HiSeq 2500 Rapid SBS	WGS paired end PCR-free	564.56	base pair	UO	UO:0000244	2 x 148	base pair	UO	UO:0000244	1-4X (300X total)	HG001_Illumina paired end WGS_replicate 14	SRX1049781	NCBI Sequence Read Archive	SRX1049781	http://www.ncbi.nlm.nih.gov/sra/SRX1049781	ftp://ftp-trace.ncbi.nlm.nih.gov/giab/ftp/data/NA12878/NIST_NA12878_HG001_HiSeq_300x	Caucasian
HG001	Illumina paired end WGS	NIST	Illumina HiSeq 2500 Rapid SBS	WGS paired end PCR-free	564.56	base pair	UO	UO:0000244	2 x 148	base pair	UO	UO:0000244	1-4X (300X total)	HG001_Illumina paired end WGS_replicate 15	SRX1049782	NCBI Sequence Read Archive	SRX1049782	http://www.ncbi.nlm.nih.gov/sra/SRX1049782	ftp://ftp-trace.ncbi.nlm.nih.gov/giab/ftp/data/NA12878/NIST_NA12878_HG001_HiSeq_300x	Caucasian
HG001	Illumina paired end WGS	NIST	Illumina HiSeq 2500 Rapid SBS	WGS paired end PCR-free	564.56	base pair	UO	UO:0000244	2 x 148	base pair	UO	UO:0000244	1-4X (300X total)	HG001_Illumina paired end WGS_replicate 16	SRX1049783	NCBI Sequence Read Archive	SRX1049783	http://www.ncbi.nlm.nih.gov/sra/SRX1049783	ftp://ftp-trace.ncbi.nlm.nih.gov/giab/ftp/data/NA12878/NIST_NA12878_HG001_HiSeq_300x	Caucasian
HG001	Illumina paired end WGS	NIST	Illumina HiSeq 2500 Rapid SBS	WGS paired end PCR-free	564.56	base pair	UO	UO:0000244	2 x 148	base pair	UO	UO:0000244	1-4X (300X total)	HG001_Illumina paired end WGS_replicate 17	SRX1049784	NCBI Sequence Read Archive	SRX1049784	http://www.ncbi.nlm.nih.gov/sra/SRX1049784	ftp://ftp-trace.ncbi.nlm.nih.gov/giab/ftp/data/NA12878/NIST_NA12878_HG001_HiSeq_300x	Caucasian
HG001	Illumina paired end WGS	NIST	Illumina HiSeq 2500 Rapid SBS	WGS paired end PCR-free	564.56	base pair	UO	UO:0000244	2 x 148	base pair	UO	UO:0000244	1-4X (300X total)	HG001_Illumina paired end WGS_replicate 18	SRX1049785	NCBI Sequence Read Archive	SRX1049785	http://www.ncbi.nlm.nih.gov/sra/SRX1049785	ftp://ftp-trace.ncbi.nlm.nih.gov/giab/ftp/data/NA12878/NIST_NA12878_HG001_HiSeq_300x	Caucasian
HG001	Illumina paired end WGS	NIST	Illumina HiSeq 2500 Rapid SBS	WGS paired end PCR-free	564.56	base pair	UO	UO:0000244	2 x 148	base pair	UO	UO:0000244	1-4X (300X total)	HG001_Illumina paired end WGS_replicate 19	SRX1049786	NCBI Sequence Read Archive	SRX1049786	http://www.ncbi.nlm.nih.gov/sra/SRX1049786	ftp://ftp-trace.ncbi.nlm.nih.gov/giab/ftp/data/NA12878/NIST_NA12878_HG001_HiSeq_300x	Caucasian
HG001	Illumina paired end WGS	NIST	Illumina HiSeq 2500 Rapid SBS	WGS paired end PCR-free	564.56	base pair	UO	UO:0000244	2 x 148	base pair	UO	UO:0000244	1-4X (300X total)	HG001_Illumina paired end WGS_replicate 20	SRX1049787	NCBI Sequence Read Archive	SRX1049787	http://www.ncbi.nlm.nih.gov/sra/SRX1049787	ftp://ftp-trace.ncbi.nlm.nih.gov/giab/ftp/data/NA12878/NIST_NA12878_HG001_HiSeq_300x	Caucasian
HG001	Illumina paired end WGS	NIST	Illumina HiSeq 2500 Rapid SBS	WGS paired end PCR-free	564.56	base pair	UO	UO:0000244	2 x 148	base pair	UO	UO:0000244	1-4X (300X total)	HG001_Illumina paired end WGS_replicate 21	SRX1049788	NCBI Sequence Read Archive	SRX1049788	http://www.ncbi.nlm.nih.gov/sra/SRX1049788	ftp://ftp-trace.ncbi.nlm.nih.gov/giab/ftp/data/NA12878/NIST_NA12878_HG001_HiSeq_300x	Caucasian
HG001	Illumina paired end WGS	NIST	Illumina HiSeq 2500 Rapid SBS	WGS paired end PCR-free	564.56	base pair	UO	UO:0000244	2 x 148	base pair	UO	UO:0000244	1-4X (300X total)	HG001_Illumina paired end WGS_replicate 22	SRX1049789	NCBI Sequence Read Archive	SRX1049789	http://www.ncbi.nlm.nih.gov/sra/SRX1049789	ftp://ftp-trace.ncbi.nlm.nih.gov/giab/ftp/data/NA12878/NIST_NA12878_HG001_HiSeq_300x	Caucasian
HG001	Illumina paired end WGS	NIST	Illumina HiSeq 2500 Rapid SBS	WGS paired end PCR-free	564.56	base pair	UO	UO:0000244	2 x 148	base pair	UO	UO:0000244	1-4X (300X total)	HG001_Illumina paired end WGS_replicate 23	SRX1049790	NCBI Sequence Read Archive	SRX1049790	http://www.ncbi.nlm.nih.gov/sra/SRX1049790	ftp://ftp-trace.ncbi.nlm.nih.gov/giab/ftp/data/NA12878/NIST_NA12878_HG001_HiSeq_300x	Caucasian
HG001	Illumina paired end WGS	NIST	Illumina HiSeq 2500 Rapid SBS	WGS paired end PCR-free	564.56	base pair	UO	UO:0000244	2 x 148	base pair	UO	UO:0000244	1-4X (300X total)	HG001_Illumina paired end WGS_replicate 24	SRX1049791	NCBI Sequence Read Archive	SRX1049791	http://www.ncbi.nlm.nih.gov/sra/SRX1049791	ftp://ftp-trace.ncbi.nlm.nih.gov/giab/ftp/data/NA12878/NIST_NA12878_HG001_HiSeq_300x	Caucasian
HG001	Illumina paired end WGS	NIST	Illumina HiSeq 2500 Rapid SBS	WGS paired end PCR-free	564.56	base pair	UO	UO:0000244	2 x 148	base pair	UO	UO:0000244	1-4X (300X total)	HG001_Illumina paired end WGS_replicate 25	SRX1049792	NCBI Sequence Read Archive	SRX1049792	http://www.ncbi.nlm.nih.gov/sra/SRX1049792	ftp://ftp-trace.ncbi.nlm.nih.gov/giab/ftp/data/NA12878/NIST_NA12878_HG001_HiSeq_300x	Caucasian
HG001	Illumina paired end WGS	NIST	Illumina HiSeq 2500 Rapid SBS	WGS paired end PCR-free	564.56	base pair	UO	UO:0000244	2 x 148	base pair	UO	UO:0000244	1-4X (300X total)	HG001_Illumina paired end WGS_replicate 26	SRX1049793	NCBI Sequence Read Archive	SRX1049793	http://www.ncbi.nlm.nih.gov/sra/SRX1049793	ftp://ftp-trace.ncbi.nlm.nih.gov/giab/ftp/data/NA12878/NIST_NA12878_HG001_HiSeq_300x	Caucasian
HG001	Illumina paired end WGS	NIST	Illumina HiSeq 2500 Rapid SBS	WGS paired end PCR-free	564.56	base pair	UO	UO:0000244	2 x 148	base pair	UO	UO:0000244	1-4X (300X total)	HG001_Illumina paired end WGS_replicate 27	SRX1049794	NCBI Sequence Read Archive	SRX1049794	http://www.ncbi.nlm.nih.gov/sra/SRX1049794	ftp://ftp-trace.ncbi.nlm.nih.gov/giab/ftp/data/NA12878/NIST_NA12878_HG001_HiSeq_300x	Caucasian
HG001	Illumina paired end WGS	NIST	Illumina HiSeq 2500 Rapid SBS	WGS paired end PCR-free	564.56	base pair	UO	UO:0000244	2 x 148	base pair	UO	UO:0000244	1-4X (300X total)	HG001_Illumina paired end WGS_replicate 28	SRX1049795	NCBI Sequence Read Archive	SRX1049795	http://www.ncbi.nlm.nih.gov/sra/SRX1049795	ftp://ftp-trace.ncbi.nlm.nih.gov/giab/ftp/data/NA12878/NIST_NA12878_HG001_HiSeq_300x	Caucasian
HG001	Illumina paired end WGS	NIST	Illumina HiSeq 2500 Rapid SBS	WGS paired end PCR-free	564.56	base pair	UO	UO:0000244	2 x 148	base pair	UO	UO:0000244	1-4X (300X total)	HG001_Illumina paired end WGS_replicate 29	SRX1049796	NCBI Sequence Read Archive	SRX1049796	http://www.ncbi.nlm.nih.gov/sra/SRX1049796	ftp://ftp-trace.ncbi.nlm.nih.gov/giab/ftp/data/NA12878/NIST_NA12878_HG001_HiSeq_300x	Caucasian
HG001	Illumina paired end WGS	NIST	Illumina HiSeq 2500 Rapid SBS	WGS paired end PCR-free	564.56	base pair	UO	UO:0000244	2 x 148	base pair	UO	UO:0000244	1-4X (300X total)	HG001_Illumina paired end WGS_replicate 30	SRX1049797	NCBI Sequence Read Archive	SRX1049797	http://www.ncbi.nlm.nih.gov/sra/SRX1049797	ftp://ftp-trace.ncbi.nlm.nih.gov/giab/ftp/data/NA12878/NIST_NA12878_HG001_HiSeq_300x	Caucasian
HG001	Illumina paired end WGS	NIST	Illumina HiSeq 2500 Rapid SBS	WGS paired end PCR-free	564.56	base pair	UO	UO:0000244	2 x 148	base pair	UO	UO:0000244	1-4X (300X total)	HG001_Illumina paired end WGS_replicate 31	SRX1049798	NCBI Sequence Read Archive	SRX1049798	http://www.ncbi.nlm.nih.gov/sra/SRX1049798	ftp://ftp-trace.ncbi.nlm.nih.gov/giab/ftp/data/NA12878/NIST_NA12878_HG001_HiSeq_300x	Caucasian
HG001	Illumina paired end WGS	NIST	Illumina HiSeq 2500 Rapid SBS	WGS paired end PCR-free	564.56	base pair	UO	UO:0000244	2 x 148	base pair	UO	UO:0000244	1-4X (300X total)	HG001_Illumina paired end WGS_replicate 32	SRX1049799	NCBI Sequence Read Archive	SRX1049799	http://www.ncbi.nlm.nih.gov/sra/SRX1049799	ftp://ftp-trace.ncbi.nlm.nih.gov/giab/ftp/data/NA12878/NIST_NA12878_HG001_HiSeq_300x	Caucasian
HG001	Illumina paired end WGS	NIST	Illumina HiSeq 2500 Rapid SBS	WGS paired end PCR-free	564.56	base pair	UO	UO:0000244	2 x 148	base pair	UO	UO:0000244	1-4X (300X total)	HG001_Illumina paired end WGS_replicate 33	SRX1049800	NCBI Sequence Read Archive	SRX1049800	http://www.ncbi.nlm.nih.gov/sra/SRX1049800	ftp://ftp-trace.ncbi.nlm.nih.gov/giab/ftp/data/NA12878/NIST_NA12878_HG001_HiSeq_300x	Caucasian
HG001	Illumina paired end WGS	NIST	Illumina HiSeq 2500 Rapid SBS	WGS paired end PCR-free	564.56	base pair	UO	UO:0000244	2 x 148	base pair	UO	UO:0000244	1-4X (300X total)	HG001_Illumina paired end WGS_replicate 34	SRX1049801	NCBI Sequence Read Archive	SRX1049801	http://www.ncbi.nlm.nih.gov/sra/SRX1049801	ftp://ftp-trace.ncbi.nlm.nih.gov/giab/ftp/data/NA12878/NIST_NA12878_HG001_HiSeq_300x	Caucasian
HG001	Illumina paired end WGS	NIST	Illumina HiSeq 2500 Rapid SBS	WGS paired end PCR-free	564.56	base pair	UO	UO:0000244	2 x 148	base pair	UO	UO:0000244	1-4X (300X total)	HG001_Illumina paired end WGS_replicate 35	SRX1049802	NCBI Sequence Read Archive	SRX1049802	http://www.ncbi.nlm.nih.gov/sra/SRX1049802	ftp://ftp-trace.ncbi.nlm.nih.gov/giab/ftp/data/NA12878/NIST_NA12878_HG001_HiSeq_300x	Caucasian
HG001	Illumina paired end WGS	NIST	Illumina HiSeq 2500 Rapid SBS	WGS paired end PCR-free	564.56	base pair	UO	UO:0000244	2 x 148	base pair	UO	UO:0000244	1-4X (300X total)	HG001_Illumina paired end WGS_replicate 36	SRX1049803	NCBI Sequence Read Archive	SRX1049803	http://www.ncbi.nlm.nih.gov/sra/SRX1049803	ftp://ftp-trace.ncbi.nlm.nih.gov/giab/ftp/data/NA12878/NIST_NA12878_HG001_HiSeq_300x	Caucasian
HG001	Illumina paired end WGS	NIST	Illumina HiSeq 2500 Rapid SBS	WGS paired end PCR-free	564.56	base pair	UO	UO:0000244	2 x 148	base pair	UO	UO:0000244	1-4X (300X total)	HG001_Illumina paired end WGS_replicate 37	SRX1049804	NCBI Sequence Read Archive	SRX1049804	http://www.ncbi.nlm.nih.gov/sra/SRX1049804	ftp://ftp-trace.ncbi.nlm.nih.gov/giab/ftp/data/NA12878/NIST_NA12878_HG001_HiSeq_300x	Caucasian
HG001	Illumina paired end WGS	NIST	Illumina HiSeq 2500 Rapid SBS	WGS paired end PCR-free	564.56	base pair	UO	UO:0000244	2 x 148	base pair	UO	UO:0000244	1-4X (300X total)	HG001_Illumina paired end WGS_replicate 38	SRX1049805	NCBI Sequence Read Archive	SRX1049805	http://www.ncbi.nlm.nih.gov/sra/SRX1049805	ftp://ftp-trace.ncbi.nlm.nih.gov/giab/ftp/data/NA12878/NIST_NA12878_HG001_HiSeq_300x	Caucasian
HG001	Illumina paired end WGS	NIST	Illumina HiSeq 2500 Rapid SBS	WGS paired end PCR-free	564.56	base pair	UO	UO:0000244	2 x 148	base pair	UO	UO:0000244	1-4X (300X total)	HG001_Illumina paired end WGS_replicate 39	SRX1049806	NCBI Sequence Read Archive	SRX1049806	http://www.ncbi.nlm.nih.gov/sra/SRX1049806	ftp://ftp-trace.ncbi.nlm.nih.gov/giab/ftp/data/NA12878/NIST_NA12878_HG001_HiSeq_300x	Caucasian
HG001	Illumina paired end WGS	NIST	Illumina HiSeq 2500 Rapid SBS	WGS paired end PCR-free	564.56	base pair	UO	UO:0000244	2 x 148	base pair	UO	UO:0000244	1-4X (300X total)	HG001_Illumina paired end WGS_replicate 40	SRX1049807	NCBI Sequence Read Archive	SRX1049807	http://www.ncbi.nlm.nih.gov/sra/SRX1049807	ftp://ftp-trace.ncbi.nlm.nih.gov/giab/ftp/data/NA12878/NIST_NA12878_HG001_HiSeq_300x	Caucasian
HG001	Illumina paired end WGS	NIST	Illumina HiSeq 2500 Rapid SBS	WGS paired end PCR-free	564.56	base pair	UO	UO:0000244	2 x 148	base pair	UO	UO:0000244	1-4X (300X total)	HG001_Illumina paired end WGS_replicate 41	SRX1049808	NCBI Sequence Read Archive	SRX1049808	http://www.ncbi.nlm.nih.gov/sra/SRX1049808	ftp://ftp-trace.ncbi.nlm.nih.gov/giab/ftp/data/NA12878/NIST_NA12878_HG001_HiSeq_300x	Caucasian
HG001	Illumina paired end WGS	NIST	Illumina HiSeq 2500 Rapid SBS	WGS paired end PCR-free	564.56	base pair	UO	UO:0000244	2 x 148	base pair	UO	UO:0000244	1-4X (300X total)	HG001_Illumina paired end WGS_replicate 42	SRX1049809	NCBI Sequence Read Archive	SRX1049809	http://www.ncbi.nlm.nih.gov/sra/SRX1049809	ftp://ftp-trace.ncbi.nlm.nih.gov/giab/ftp/data/NA12878/NIST_NA12878_HG001_HiSeq_300x	Caucasian
HG001	Illumina paired end WGS	NIST	Illumina HiSeq 2500 Rapid SBS	WGS paired end PCR-free	564.56	base pair	UO	UO:0000244	2 x 148	base pair	UO	UO:0000244	1-4X (300X total)	HG001_Illumina paired end WGS_replicate 43	SRX1049810	NCBI Sequence Read Archive	SRX1049810	http://www.ncbi.nlm.nih.gov/sra/SRX1049810	ftp://ftp-trace.ncbi.nlm.nih.gov/giab/ftp/data/NA12878/NIST_NA12878_HG001_HiSeq_300x	Caucasian
HG001	Illumina paired end WGS	NIST	Illumina HiSeq 2500 Rapid SBS	WGS paired end PCR-free	564.56	base pair	UO	UO:0000244	2 x 148	base pair	UO	UO:0000244	1-4X (300X total)	HG001_Illumina paired end WGS_replicate 44	SRX1049811	NCBI Sequence Read Archive	SRX1049811	http://www.ncbi.nlm.nih.gov/sra/SRX1049811	ftp://ftp-trace.ncbi.nlm.nih.gov/giab/ftp/data/NA12878/NIST_NA12878_HG001_HiSeq_300x	Caucasian
HG001	Illumina paired end WGS	NIST	Illumina HiSeq 2500 Rapid SBS	WGS paired end PCR-free	564.56	base pair	UO	UO:0000244	2 x 148	base pair	UO	UO:0000244	1-4X (300X total)	HG001_Illumina paired end WGS_replicate 45	SRX1049812	NCBI Sequence Read Archive	SRX1049812	http://www.ncbi.nlm.nih.gov/sra/SRX1049812	ftp://ftp-trace.ncbi.nlm.nih.gov/giab/ftp/data/NA12878/NIST_NA12878_HG001_HiSeq_300x	Caucasian
HG001	Illumina paired end WGS	NIST	Illumina HiSeq 2500 Rapid SBS	WGS paired end PCR-free	564.56	base pair	UO	UO:0000244	2 x 148	base pair	UO	UO:0000244	1-4X (300X total)	HG001_Illumina paired end WGS_replicate 46	SRX1049813	NCBI Sequence Read Archive	SRX1049813	http://www.ncbi.nlm.nih.gov/sra/SRX1049813	ftp://ftp-trace.ncbi.nlm.nih.gov/giab/ftp/data/NA12878/NIST_NA12878_HG001_HiSeq_300x	Caucasian
HG001	Illumina paired end WGS	NIST	Illumina HiSeq 2500 Rapid SBS	WGS paired end PCR-free	564.56	base pair	UO	UO:0000244	2 x 148	base pair	UO	UO:0000244	1-4X (300X total)	HG001_Illumina paired end WGS_replicate 47	SRX1049814	NCBI Sequence Read Archive	SRX1049814	http://www.ncbi.nlm.nih.gov/sra/SRX1049814	ftp://ftp-trace.ncbi.nlm.nih.gov/giab/ftp/data/NA12878/NIST_NA12878_HG001_HiSeq_300x	Caucasian
HG001	Illumina paired end WGS	NIST	Illumina HiSeq 2500 Rapid SBS	WGS paired end PCR-free	564.56	base pair	UO	UO:0000244	2 x 148	base pair	UO	UO:0000244	1-4X (300X total)	HG001_Illumina paired end WGS_replicate 48	SRX1049815	NCBI Sequence Read Archive	SRX1049815	http://www.ncbi.nlm.nih.gov/sra/SRX1049815	ftp://ftp-trace.ncbi.nlm.nih.gov/giab/ftp/data/NA12878/NIST_NA12878_HG001_HiSeq_300x	Caucasian
HG001	Illumina paired end WGS	NIST	Illumina HiSeq 2500 Rapid SBS	WGS paired end PCR-free	564.56	base pair	UO	UO:0000244	2 x 148	base pair	UO	UO:0000244	1-4X (300X total)	HG001_Illumina paired end WGS_replicate 49	SRX1049816	NCBI Sequence Read Archive	SRX1049816	http://www.ncbi.nlm.nih.gov/sra/SRX1049816	ftp://ftp-trace.ncbi.nlm.nih.gov/giab/ftp/data/NA12878/NIST_NA12878_HG001_HiSeq_300x	Caucasian
HG001	Illumina paired end WGS	NIST	Illumina HiSeq 2500 Rapid SBS	WGS paired end PCR-free	564.56	base pair	UO	UO:0000244	2 x 148	base pair	UO	UO:0000244	1-4X (300X total)	HG001_Illumina paired end WGS_replicate 50	SRX1049817	NCBI Sequence Read Archive	SRX1049817	http://www.ncbi.nlm.nih.gov/sra/SRX1049817	ftp://ftp-trace.ncbi.nlm.nih.gov/giab/ftp/data/NA12878/NIST_NA12878_HG001_HiSeq_300x	Caucasian
HG001	Illumina paired end WGS	NIST	Illumina HiSeq 2500 Rapid SBS	WGS paired end PCR-free	564.56	base pair	UO	UO:0000244	2 x 148	base pair	UO	UO:0000244	1-4X (300X total)	HG001_Illumina paired end WGS_replicate 51	SRX1049818	NCBI Sequence Read Archive	SRX1049818	http://www.ncbi.nlm.nih.gov/sra/SRX1049818	ftp://ftp-trace.ncbi.nlm.nih.gov/giab/ftp/data/NA12878/NIST_NA12878_HG001_HiSeq_300x	Caucasian
HG001	Illumina paired end WGS	NIST	Illumina HiSeq 2500 Rapid SBS	WGS paired end PCR-free	564.56	base pair	UO	UO:0000244	2 x 148	base pair	UO	UO:0000244	1-4X (300X total)	HG001_Illumina paired end WGS_replicate 52	SRX1049819	NCBI Sequence Read Archive	SRX1049819	http://www.ncbi.nlm.nih.gov/sra/SRX1049819	ftp://ftp-trace.ncbi.nlm.nih.gov/giab/ftp/data/NA12878/NIST_NA12878_HG001_HiSeq_300x	Caucasian
HG001	Illumina paired end WGS	NIST	Illumina HiSeq 2500 Rapid SBS	WGS paired end PCR-free	564.56	base pair	UO	UO:0000244	2 x 148	base pair	UO	UO:0000244	1-4X (300X total)	HG001_Illumina paired end WGS_replicate 53	SRX1049820	NCBI Sequence Read Archive	SRX1049820	http://www.ncbi.nlm.nih.gov/sra/SRX1049820	ftp://ftp-trace.ncbi.nlm.nih.gov/giab/ftp/data/NA12878/NIST_NA12878_HG001_HiSeq_300x	Caucasian
HG001	Illumina paired end WGS	NIST	Illumina HiSeq 2500 Rapid SBS	WGS paired end PCR-free	564.56	base pair	UO	UO:0000244	2 x 148	base pair	UO	UO:0000244	1-4X (300X total)	HG001_Illumina paired end WGS_replicate 54	SRX1049821	NCBI Sequence Read Archive	SRX1049821	http://www.ncbi.nlm.nih.gov/sra/SRX1049821	ftp://ftp-trace.ncbi.nlm.nih.gov/giab/ftp/data/NA12878/NIST_NA12878_HG001_HiSeq_300x	Caucasian
HG001	Illumina paired end WGS	NIST	Illumina HiSeq 2500 Rapid SBS	WGS paired end PCR-free	564.56	base pair	UO	UO:0000244	2 x 148	base pair	UO	UO:0000244	1-4X (300X total)	HG001_Illumina paired end WGS_replicate 55	SRX1049822	NCBI Sequence Read Archive	SRX1049822	http://www.ncbi.nlm.nih.gov/sra/SRX1049822	ftp://ftp-trace.ncbi.nlm.nih.gov/giab/ftp/data/NA12878/NIST_NA12878_HG001_HiSeq_300x	Caucasian
